Country,Resource,Quantity,Unit,Sector,Urgency,Time to ship from Canada to Country (days),Date Resource is Required by (yyyy-mm-dd),Key
Albania,Tertiary metal products,319667.41000000003,ton,Minerals and mining,0.01,4,2023-05-04,Tertiary_metal_products_Minerals_and_mining
Albania,Primary non-metallic minerals products,529642.5679629656,metric_ton,Minerals and mining,0.11,8,2023-05-29,Primary_non_metallic_minerals_products_Minerals_and_mining
Albania,Miscellaneous metal products,237606.0,kg,Minerals and mining,0.11,4,2023-05-05,Miscellaneous_metal_products_Minerals_and_mining
Albania,Services,518196.0,hr,Minerals and mining,0.05,4,2023-05-06,Services_Minerals_and_mining
Albania,Secondary metal products,597.8347436600001,ton,Minerals and mining,0.07,0,2023-05-02,Secondary_metal_products_Minerals_and_mining
Albania,Services and custom work,110088.0,hr,Minerals and mining,0.01,3,2023-05-14,Services_and_custom_work_Minerals_and_mining
Albania,Refined petroleum products (fuels and lubricants),753859.5449370081,gallon,Energy,0.1,1,2023-05-14,Refined_petroleum_products_(fuels_and_lubricants)_Energy
Albania,Primary metallic minerals products,635988.43,metric_ton,Minerals and mining,0.11,2,2023-05-13,Primary_metallic_minerals_products_Minerals_and_mining
Albania,Extraction,104334.87,metric_ton,Forestry,0.09,8,2023-05-23,Extraction_Forestry
Albania,Extraction,667861.24093,ton,Minerals and mining,0.13,4,2023-05-02,Extraction_Minerals_and_mining
Albania,Secondary paper products,103033.91595429424,metric_ton,Forestry,0.09,3,2023-05-15,Secondary_paper_products_Forestry
Albania,Services,1724406.96,hr,Energy,0.03,4,2023-05-04,Services_Energy
Albania,Non-metallic minerals,144197.75,metric_ton,Minerals and mining,0.02,0,2023-05-03,Non_metallic_minerals_Minerals_and_mining
Albania,Biofuels,2169.0020759,L,Energy,0.01,4,2023-05-06,Biofuels_Energy
Albania,Electricity,3011909.0,kWh,Energy,0.06,4,2023-05-25,Electricity_Energy
